company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,scheduled_departure_time,actual_departure_time
UA,3,03-08-2025,ORD,ZRH,2025-08-03 15:55:00+00:00,2025-08-04T07:45:00Z,2025-08-03 16:01:00+00:00,2025-08-04T07:26:00Z,167,B767-300,Mainline,270,275,145,15:55:00,16:01:00
UA,3,07-08-2025,ORD,ZRH,2025-08-07 15:55:00+00:00,2025-08-08T07:45:00Z,2025-08-07 17:26:00+00:00,2025-08-08T09:06:00Z,167,B767-300,Mainline,105,156,145,15:55:00,17:26:00
UA,3,13-08-2025,ORD,ZRH,2025-08-13 15:55:00+00:00,2025-08-14T07:45:00Z,2025-08-13 15:49:00+00:00,2025-08-14T07:30:00Z,167,B767-300,Mainline,270,286,145,15:55:00,15:49:00
UA,3,02-08-2025,ORD,ZRH,2025-08-02 15:55:00+00:00,2025-08-03T07:45:00Z,2025-08-02 15:59:00+00:00,2025-08-03T07:08:00Z,167,B767-300,Mainline,185,204,145,15:55:00,15:59:00
UA,3,14-08-2025,ORD,ZRH,2025-08-14 15:55:00+00:00,2025-08-15T07:45:00Z,2025-08-14 15:52:00+00:00,2025-08-15T07:36:00Z,167,B767-300,Mainline,1545,1577,145,15:55:00,15:52:00
UA,3,09-08-2025,ORD,ZRH,2025-08-09 15:55:00+00:00,2025-08-10T07:45:00Z,2025-08-09 16:19:00+00:00,2025-08-10T08:22:00Z,167,B767-300,Mainline,270,312,145,15:55:00,16:19:00
UA,3,10-08-2025,ORD,ZRH,2025-08-10 15:55:00+00:00,2025-08-11T07:45:00Z,2025-08-10 16:07:00+00:00,2025-08-11T07:39:00Z,167,B767-300,Mainline,270,317,145,15:55:00,16:07:00
UA,3,04-08-2025,ORD,ZRH,2025-08-04 15:55:00+00:00,2025-08-05T07:45:00Z,2025-08-04 16:04:00+00:00,2025-08-05T07:33:00Z,167,B767-300,Mainline,270,263,145,15:55:00,16:04:00
UA,3,08-08-2025,ORD,ZRH,2025-08-08 15:55:00+00:00,2025-08-09T07:45:00Z,2025-08-08 15:57:00+00:00,2025-08-09T07:41:00Z,167,B767-300,Mainline,270,285,145,15:55:00,15:57:00
UA,3,05-08-2025,ORD,ZRH,2025-08-05 15:55:00+00:00,2025-08-06T07:45:00Z,2025-08-05 16:06:00+00:00,2025-08-06T07:35:00Z,167,B767-300,Mainline,1545,1506,145,15:55:00,16:06:00
UA,3,01-08-2025,ORD,ZRH,2025-08-01 15:55:00+00:00,2025-08-02T07:45:00Z,2025-08-01 15:43:00+00:00,2025-08-02T06:58:00Z,167,B767-300,Mainline,185,184,145,15:55:00,15:43:00
UA,3,06-08-2025,ORD,ZRH,2025-08-06 15:55:00+00:00,2025-08-07T07:45:00Z,2025-08-06 16:20:00+00:00,2025-08-07T07:47:00Z,167,B767-300,Mainline,105,150,145,15:55:00,16:20:00
UA,3,11-08-2025,ORD,ZRH,2025-08-11 15:55:00+00:00,2025-08-12T07:45:00Z,2025-08-11 16:13:00+00:00,2025-08-12T08:28:00Z,167,B767-300,Mainline,270,298,145,15:55:00,16:13:00
UA,3,12-08-2025,ORD,ZRH,2025-08-12 15:55:00+00:00,2025-08-13T07:45:00Z,2025-08-12 16:11:00+00:00,2025-08-13T08:55:00Z,167,B767-300,Mainline,270,316,145,15:55:00,16:11:00
