flight_number,scheduled_departure_date_local,ssr_count,total_passengers,total_seats,avg_load_factor,avg_delay,ground_time,min_turn,ground_buffer,transfer_to_checked_ratio,load_norm,ssr_norm,delay_norm,ground_norm,bag_norm,difficulty_score,difficulty_rank,difficulty_category
3,2025-08-01,2,177,167.0,0.010598802395209581,0.0,185.0,145.0,40.0,1.3168469860896446,0.37770322815713075,0.0625,0.0,0.9895216265293365,0.044844402012970984,0.028966848656974267,262.0,Medium
3,2025-08-02,2,183,167.0,0.011296993641582815,4.0,185.0,145.0,40.0,1.3168469860896446,0.41470878501191666,0.0625,0.0048250904704463205,0.9895216265293365,0.044844402012970984,0.033669825805058506,220.0,Medium
3,2025-08-03,3,199,167.0,0.010361884925800572,6.0,270.0,145.0,125.0,1.3168469860896446,0.36514612015892994,0.09375,0.007237635705669481,0.9869913374810229,0.044844402012970984,0.037055781030498655,147.0,Easy
3,2025-08-04,3,199,167.0,0.011798185806604612,9.0,270.0,145.0,125.0,1.3168469860896446,0.44127298966820466,0.09375,0.010856453558504222,0.9869913374810229,0.044844402012970984,0.04190441222348454,101.0,Easy
3,2025-08-05,5,180,167.0,0.00998003992015968,11.0,1545.0,145.0,1400.0,1.3168469860896446,0.34490755781750765,0.15625,0.013268998793727383,0.9490370017563183,0.044844402012970984,0.04663763995747061,81.0,Easy
3,2025-08-06,4,175,167.0,0.010584890824411781,25.0,105.0,145.0,-40.0,1.3168469860896446,0.37696588659524277,0.125,0.030156815440289506,0.9919030750453963,0.044844402012970984,0.057870566818209665,98.0,Easy
3,2025-08-07,2,184,167.0,0.01010822391913421,91.0,105.0,145.0,-40.0,1.3168469860896446,0.3517015706135231,0.0625,0.1097708082026538,0.9919030750453963,0.044844402012970984,0.11227113590168396,25.0,Easy
3,2025-08-08,4,201,167.0,0.011462788708297691,2.0,270.0,145.0,125.0,1.3168469860896446,0.42349626093549847,0.125,0.0024125452352231603,0.9869913374810229,0.044844402012970984,0.03787206749033445,124.0,Easy
3,2025-08-09,2,179,167.0,0.010306310456011056,24.0,270.0,145.0,125.0,1.3168469860896446,0.3622005601678052,0.0625,0.028950542822677925,0.9869913374810229,0.044844402012970984,0.05067531684196076,108.0,Easy
3,2025-08-10,1,146,167.0,0.009502733663108566,12.0,270.0,145.0,125.0,1.3168469860896446,0.31960935489072967,0.03125,0.014475271411338963,0.9869913374810229,0.044844402012970984,0.035521135998685935,199.0,Medium
3,2025-08-11,2,187,167.0,0.00999786142001711,18.0,270.0,145.0,125.0,1.3168469860896446,0.34585213357613737,0.0625,0.021712907117008445,0.9869913374810229,0.044844402012970984,0.044690583345313395,83.0,Easy
3,2025-08-12,4,163,167.0,0.011619617907043057,16.0,270.0,145.0,125.0,1.3168469860896446,0.43180852761143984,0.125,0.019300361881785282,0.9869913374810229,0.044844402012970984,0.051021467814802796,137.0,Easy
3,2025-08-13,2,170,167.0,0.009603434640153655,0.0,270.0,145.0,125.0,1.3168469860896446,0.32494671159740834,0.0625,0.0,0.9869913374810229,0.044844402012970984,0.027505080069222716,320.0,Medium
3,2025-08-14,2,182,167.0,0.00931470392548237,0.0,1545.0,145.0,1400.0,1.3168469860896446,0.309643396161999,0.0625,0.0,0.9490370017563183,0.044844402012970984,0.026777776841095623,315.0,Medium
3,2025-08-15,1,209,167.0,0.010605906830406983,4.0,1355.0,145.0,1210.0,1.3168469860896446,0.3780797776798929,0.03125,0.0048250904704463205,0.9546929419819605,0.044844402012970984,0.029471007174973196,232.0,Medium
118,2025-08-01,6,204,176.0,0.010257441673370877,82.0,90.0,75.0,15.0,1.160828025477707,0.35961041524145565,0.1875,0.09891435464414958,0.9902658291906052,0.039033682613784274,0.1152079078980567,13.0,Easy
118,2025-08-02,4,197,176.0,0.009905470635559131,27.0,90.0,75.0,15.0,1.160828025477707,0.34095523398755345,0.125,0.032569360675512665,0.9902658291906052,0.039033682613784274,0.05810313283083434,68.0,Easy
118,2025-08-03,7,191,176.0,0.012473876698014629,47.0,90.0,75.0,15.0,1.160828025477707,0.47708598192243257,0.21875,0.05669481302774427,0.9902658291906052,0.039033682613784274,0.08902558572488231,21.0,Easy
118,2025-08-04,5,174,176.0,0.009986225895316805,0.0,90.0,75.0,15.0,1.160828025477707,0.3452354270890981,0.15625,0.0,0.9902658291906052,0.039033682613784274,0.036212840561039995,133.0,Easy
118,2025-08-05,2,169,176.0,0.009798237476808904,0.0,90.0,75.0,15.0,1.160828025477707,0.3352716583577202,0.0625,0.0,0.9902658291906052,0.039033682613784274,0.027197371292546166,299.0,Medium
118,2025-08-06,4,215,176.0,0.010715709728867625,102.0,90.0,75.0,15.0,1.160828025477707,0.38389955474371684,0.125,0.12303980699638119,0.9902658291906052,0.039033682613784274,0.12850303281302725,77.0,Easy
118,2025-08-07,3,187,176.0,0.00932017543859649,14.0,90.0,75.0,15.0,1.160828025477707,0.30993339749140275,0.09375,0.016887816646562123,0.9902658291906052,0.039033682613784274,0.04234196887824628,144.0,Easy
118,2025-08-08,2,181,176.0,0.00791083916083916,5.0,90.0,75.0,15.0,1.160828025477707,0.23523570681571424,0.0625,0.006031363088057901,0.9902658291906052,0.039033682613784274,0.02907980590866406,233.0,Medium
118,2025-08-09,2,186,176.0,0.009352373290426388,5.0,275.0,122.0,153.0,1.160828025477707,0.3116399491599929,0.0625,0.006031363088057901,0.9861578305004018,0.039033682613784274,0.03113346946554328,272.0,Medium
118,2025-08-10,3,196,176.0,0.009768740031897928,54.0,90.0,75.0,15.0,1.160828025477707,0.3337082337510752,0.09375,0.06513872135102533,0.9902658291906052,0.039033682613784274,0.07991238075437904,69.0,Easy
118,2025-08-11,4,139,176.0,0.009077847439916405,4.0,90.0,75.0,15.0,1.160828025477707,0.29708952043157977,0.125,0.0048250904704463205,0.9902658291906052,0.039033682613784274,0.035675303425155645,136.0,Easy
118,2025-08-12,3,160,176.0,0.010330578512396695,229.0,247.0,75.0,172.0,1.160828025477707,0.3634868165409678,0.09375,0.2762364294330519,0.9855922364778377,0.039033682613784274,0.242216935409395,26.0,Easy
118,2025-08-13,9,216,176.0,0.009897360703812317,45.0,90.0,75.0,15.0,1.160828025477707,0.3405253911015188,0.28125,0.054282267792521106,0.9902658291906052,0.039033682613784274,0.0892779680380376,40.0,Easy
118,2025-08-14,3,184,176.0,0.00968013468013468,145.0,0.0,75.0,-75.0,1.160828025477707,0.32901196979854724,0.09375,0.17490952955367914,0.9929449587711726,0.039033682613784274,0.1638010935654026,15.0,Easy
118,2025-08-15,3,167,176.0,0.009682282003710576,3.0,290.0,122.0,168.0,1.160828025477707,0.329125782317805,0.09375,0.0036188178528347406,0.9857113089036407,0.039033682613784274,0.03267587391574786,182.0,Medium
202,2025-08-02,0,394,257.0,0.01135610318489696,0.0,920.0,155.0,765.0,0.4749034749034749,0.41784171109360907,0.0,0.0,0.9679397493525437,0.013487331857649618,0.02073204655366128,515.0,Difficult
202,2025-08-09,4,383,243.0,0.0109453589391861,0.0,910.0,150.0,760.0,0.4749034749034749,0.3960714302194429,0.125,0.0,0.9680885898847974,0.013487331857649618,0.03179627835293542,239.0,Medium
219,2025-08-01,6,429,318.0,0.007137865628431666,20.0,165.0,155.0,10.0,1.4664879356568365,0.1942665366215363,0.1875,0.024125452352231604,0.990414669722859,0.05041758084426408,0.05467261326677842,68.0,Easy
219,2025-08-02,4,412,318.0,0.00681893412777226,32.0,165.0,155.0,10.0,1.4664879356568365,0.17736251807111653,0.125,0.038600723763570564,0.990414669722859,0.05041758084426408,0.059458272818125504,65.0,Easy
219,2025-08-03,3,389,318.0,0.005412701063060055,0.0,191.0,88.0,103.0,1.4664879356568365,0.1028293040017596,0.09375,0.0,0.9876462358229393,0.05041758084426408,0.024948496325156513,417.0,Difficult
219,2025-08-04,9,420,318.0,0.006411430664956952,0.0,165.0,155.0,10.0,1.4664879356568365,0.15576400528530496,0.28125,0.0,0.990414669722859,0.05041758084426408,0.04390365034542687,91.0,Easy
219,2025-08-05,11,430,318.0,0.007192559882242741,0.0,191.0,88.0,103.0,1.4664879356568365,0.1971654433745921,0.34375,0.0,0.9876462358229393,0.05041758084426408,0.05084091570267737,68.0,Easy
219,2025-08-06,6,392,318.0,0.006289308176100628,0.0,165.0,155.0,10.0,1.4664879356568365,0.14929126486053484,0.1875,0.0,0.990414669722859,0.05041758084426408,0.034983545586313086,170.0,Easy
219,2025-08-07,7,423,318.0,0.006129901747674115,36.0,165.0,155.0,10.0,1.4664879356568365,0.1408423997669122,0.21875,0.04342581423401689,0.990414669722859,0.05041758084426408,0.07089603596440552,68.0,Easy
219,2025-08-08,7,398,318.0,0.006353159020528046,0.0,191.0,88.0,103.0,1.4664879356568365,0.1526754895496278,0.21875,0.0,0.9876462358229393,0.05041758084426408,0.03796786417327842,123.0,Easy
219,2025-08-09,5,409,318.0,0.005954460750058234,11.0,191.0,88.0,103.0,1.4664879356568365,0.1315436698764142,0.15625,0.013268998793727383,0.9876462358229393,0.05041758084426408,0.04171500892173941,148.0,Easy
219,2025-08-10,7,357,318.0,0.005034266858448262,32.0,165.0,155.0,10.0,1.4664879356568365,0.0827715210557512,0.21875,0.038600723763570564,0.990414669722859,0.05041758084426408,0.06561761688135805,94.0,Easy
219,2025-08-11,2,401,318.0,0.00568020851039719,0.0,191.0,88.0,103.0,1.4664879356568365,0.11700774307978423,0.0625,0.0,0.9876462358229393,0.05041758084426408,0.022421379526210983,516.0,Difficult
